date,old_A,new_A,category,allowed,A_verified,B_verified,evidence,A_status,A_reason
20060403,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060404,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060405,-3.0,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:555,unknown,missing_decision_prefix_bar:555
20060406,0.25,0.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060407,13.25,13.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060410,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060411,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060412,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060413,-19.75,-19.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060414,,,calendar_not_eligible,True,False,False,calendar_closed,not_in_P0,calendar_closed
20060417,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060418,-3.0,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:563,unknown,missing_decision_prefix_bar:563
20060419,3.75,3.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060420,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:563,unknown,missing_decision_prefix_bar:563
20060421,-14.25,-14.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060424,-1.5,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20060425,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:547,unknown,missing_decision_prefix_bar:547
20060426,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060427,9.5,,old_numeric_outcome_to_unknown,True,True,True,missing_open_position_bar:587,unknown,missing_open_position_bar:587
20060428,4.25,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:916,unknown,detector:missing_v7m_bar:916
20060501,3.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:916,unknown,detector:missing_v7m_bar:916
20060502,-5.25,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:916,unknown,detector:missing_v7m_bar:916
20060503,-0.25,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:915,unknown,detector:missing_v7m_bar:915
20060504,3.25,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:915,unknown,detector:missing_v7m_bar:915
20060505,-6.25,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:915,unknown,detector:missing_v7m_bar:915
20060508,1.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:915,unknown,detector:missing_v7m_bar:915
20060509,-2.25,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:741,unknown,detector:missing_v7m_bar:741
20060510,-3.0,-3.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060511,15.25,15.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060512,0.5,0.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060515,-3.25,-3.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060516,-13.5,-13.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060517,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060518,-0.5,-0.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060519,-3.5,-3.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060522,-4.5,-4.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060523,-1.25,-1.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060524,-27.0,-27.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060525,2.5,2.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060526,-4.25,-4.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060529,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060530,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060531,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20060601,-19.75,-19.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060602,10.5,10.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060605,-2.25,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:560,unknown,missing_decision_prefix_bar:560
20060606,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:565,unknown,missing_decision_prefix_bar:565
20060607,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060608,19.0,19.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060609,-0.25,-0.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060612,8.0,8.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060613,-9.75,-9.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060614,4.25,4.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060615,11.0,11.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060616,-12.0,-12.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060619,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060620,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:549,unknown,missing_decision_prefix_bar:549
20060621,15.0,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:561,unknown,missing_decision_prefix_bar:561
20060622,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:555,unknown,missing_decision_prefix_bar:555
20060623,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:556,unknown,missing_decision_prefix_bar:556
20060626,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060627,19.5,19.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060628,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:547,unknown,missing_decision_prefix_bar:547
20060629,3.0,3.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060630,10.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:815,unknown,detector:missing_v7m_bar:815
20060703,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060704,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20060705,16.25,16.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060706,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:558,unknown,missing_decision_prefix_bar:558
20060707,-7.25,-7.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060710,-1.75,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:552,unknown,missing_decision_prefix_bar:552
20060711,-1.25,-1.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060712,-12.25,-12.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060713,-5.5,-5.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060714,20.25,20.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060717,2.0,2.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060718,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:552,unknown,missing_decision_prefix_bar:552
20060719,12.5,12.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060720,-11.25,-11.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060721,0.25,0.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060724,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:559,unknown,missing_decision_prefix_bar:559
20060725,-4.5,-4.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060726,0.5,0.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060727,-4.0,-4.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060728,-17.5,-17.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060731,-7.5,-7.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060801,10.0,10.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060802,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:558,unknown,missing_decision_prefix_bar:558
20060803,-10.5,-10.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060804,1.25,1.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060807,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060808,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060809,6.75,6.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060810,3.5,3.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060811,-1.75,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:557,unknown,missing_decision_prefix_bar:557
20060814,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:554,unknown,missing_decision_prefix_bar:554
20060815,-7.0,-7.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060816,-4.0,-4.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060817,-2.5,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:546,unknown,missing_decision_prefix_bar:546
20060818,-4.25,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:557,unknown,missing_decision_prefix_bar:557
20060821,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20060822,1.75,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20060823,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:550,unknown,missing_decision_prefix_bar:550
20060824,7.75,7.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060825,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:562,unknown,missing_decision_prefix_bar:562
20060828,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060829,4.75,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:550,unknown,missing_decision_prefix_bar:550
20060830,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:560,unknown,missing_decision_prefix_bar:560
20060831,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:546,unknown,missing_decision_prefix_bar:546
20060901,-5.5,-5.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060904,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060905,-6.0,-6.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060906,2.75,2.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060907,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060908,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:563,unknown,missing_decision_prefix_bar:563
20060911,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20060912,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20060913,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:556,unknown,missing_decision_prefix_bar:556
20060914,-6.25,-6.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060915,5.5,5.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060918,-8.5,-8.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060919,3.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:772,unknown,detector:missing_v7m_bar:772
20060920,9.0,9.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060921,-3.0,-3.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060922,-4.25,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:547,unknown,missing_decision_prefix_bar:547
20060925,-8.0,-8.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060926,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20060927,4.75,4.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20060928,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:563,unknown,missing_decision_prefix_bar:563
20060929,-1.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:738,unknown,detector:missing_v7m_bar:738
20061002,-3.5,-3.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061003,-7.5,-7.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061004,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:565,unknown,missing_decision_prefix_bar:565
20061005,-6.0,-6.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061006,4.5,4.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061009,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:556,unknown,missing_decision_prefix_bar:556
20061010,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:566,unknown,missing_decision_prefix_bar:566
20061011,-9.5,-9.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061012,1.0,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:794,unknown,detector:missing_v7m_bar:794
20061013,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:559,unknown,missing_decision_prefix_bar:559
20061016,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:556,unknown,missing_decision_prefix_bar:556
20061017,13.0,13.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061018,-19.75,-19.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061019,-6.75,-6.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061020,2.25,2.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061023,22.5,22.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061024,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:557,unknown,missing_decision_prefix_bar:557
20061025,7.75,,old_numeric_outcome_to_unknown,True,True,True,detector:missing_v7m_bar:854,unknown,detector:missing_v7m_bar:854
20061026,3.0,3.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061027,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:554,unknown,missing_decision_prefix_bar:554
20061030,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:552,unknown,missing_decision_prefix_bar:552
20061031,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:551,unknown,missing_decision_prefix_bar:551
20061101,10.0,10.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061102,-1.5,,old_numeric_outcome_to_unknown,True,True,True,missing_open_position_bar:609,unknown,missing_open_position_bar:609
20061103,-19.75,-19.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061106,5.75,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20061107,-19.75,-19.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061108,-8.25,-8.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061109,-3.25,-3.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061110,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20061113,-3.75,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20061114,-7.25,-7.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061115,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:562,unknown,missing_decision_prefix_bar:562
20061116,0.5,0.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061117,-0.5,-0.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061120,-8.25,-8.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061121,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:546,unknown,missing_decision_prefix_bar:546
20061122,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20061123,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:544,unknown,missing_decision_prefix_bar:544
20061124,14.25,14.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061127,19.25,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20061128,2.0,2.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061129,1.0,1.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061130,-6.75,-6.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061201,-19.75,-19.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061204,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:548,unknown,missing_decision_prefix_bar:548
20061205,-5.25,-5.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061206,-2.5,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:545,unknown,missing_decision_prefix_bar:545
20061207,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:557,unknown,missing_decision_prefix_bar:557
20061208,26.0,26.0,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061211,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:561,unknown,missing_decision_prefix_bar:561
20061212,,,parent_membership_unknown,True,False,False,missing_decision_prefix_bar:553,unknown,missing_decision_prefix_bar:553
20061213,7.75,7.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061214,-20.5,-20.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061215,-6.5,-6.5,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061218,1.25,1.25,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
20061219,-4.75,-4.75,exact_reproduction,True,True,True,full_trade_trace_and_independent_execution_match,resolved,ok
